HUD frame time nsec:,16662000

Range Index,Elapsed Time, First Event,Last Event
0,36576,12,12
1,5568,17,17
2,4320,62,62
3,1920,116,116
4,672,151,151
5,3104,158,158
6,1888,203,203
7,672,257,257
8,640,292,292
9,3296,299,299
10,736,344,344
11,672,398,398
12,672,433,433
13,3136,440,440
14,896,485,485
15,640,539,539
16,640,574,574
17,3104,581,581
18,896,626,626
19,1216,680,680
20,672,715,715
21,3104,722,722
22,896,767,767
23,1888,821,821
24,640,856,856
25,3168,865,865
26,593952,910,910
27,832,964,964
28,672,1018,1018
29,672,1072,1072
30,704,1126,1126
31,42400,1180,1180
32,8000,1234,1234
33,1376,1288,1288
34,3744,1342,1342
35,4896,1396,1396
36,5504,1450,1450
37,6944,1504,1504
38,8000,1558,1558
39,4192,1612,1612
40,5216,1666,1666
41,5856,1720,1720
42,4320,1774,1774
43,672,1828,1828
44,704,1882,1882
45,672,1936,1936
46,2784,1990,1990
47,3104,2002,2002
48,577472,2047,2047
49,1120,2101,2101
50,704,2155,2155
51,704,2209,2209
52,704,2263,2263
53,56352,2317,2317
54,10432,2371,2371
55,704,2425,2425
56,672,2479,2479
57,8032,2533,2533
58,7456,2587,2587
59,8512,2641,2641
60,7456,2695,2695
61,640,2749,2749
62,640,2803,2803
63,672,2857,2857
64,11680,2911,2911
65,704,2965,2965
66,640,3019,3019
67,672,3073,3073
68,672,3127,3127
69,3104,3139,3139
70,240192,3184,3184
71,640,3238,3238
72,672,3292,3292
73,640,3346,3346
74,672,3400,3400
75,640,3454,3454
76,672,3508,3508
77,536032,3562,3562
78,1824,3616,3616
79,8928,3670,3670
80,6656,3724,3724
81,7008,3778,3778
82,7040,3832,3832
83,4896,3886,3886
84,5216,3940,3940
85,5216,3994,3994
86,5344,4048,4048
87,672,4102,4102
88,704,4156,4156
89,704,4210,4210
90,2592,4264,4264
91,3104,4276,4276
92,55264,4321,4321
93,672,4375,4375
94,704,4429,4429
95,704,4483,4483
96,672,4537,4537
97,29760,4591,4591
98,9120,4645,4645
99,1952,4699,4699
100,1504,4753,4753
101,8960,4807,4807
102,6976,4861,4861
103,6944,4915,4915
104,7008,4969,4969
105,5216,5023,5023
106,5248,5077,5077
107,5024,5131,5131
108,5152,5185,5185
109,672,5239,5239
110,704,5293,5293
111,672,5347,5347
112,2784,5401,5401
113,3104,5413,5413
114,528672,5458,5458
115,4608,5512,5512
116,672,5566,5566
117,1696,5620,5620
118,672,5674,5674
119,69216,5728,5728
120,2240,5782,5782
121,2496,5836,5836
122,672,5890,5890
123,5888,5944,5944
124,6528,5998,5998
125,10112,6052,6052
126,8768,6106,6106
127,640,6160,6160
128,640,6214,6214
129,640,6268,6268
130,640,6322,6322
131,736,6376,6376
132,672,6430,6430
133,640,6484,6484
134,672,6538,6538
135,3104,6550,6550
136,449504,6595,6595
137,2752,6649,6649
138,1280,6703,6703
139,2368,6757,6757
140,1600,6811,6811
141,63520,6865,6865
142,13952,6919,6919
143,864,6973,6973
144,672,7027,7027
145,8608,7081,7081
146,9600,7135,7135
147,8224,7189,7189
148,8352,7243,7243
149,6112,7297,7297
150,3584,7351,7351
151,5568,7405,7405
152,1952,7459,7459
153,640,7513,7513
154,640,7567,7567
155,640,7621,7621
156,640,7675,7675
157,3189728,7756,7756
158,63968,7833,7833
159,17344,7910,7910
160,36928,7987,7987
161,18176,8064,8064
162,1541344,8141,8141
163,336448,8218,8218
164,123904,8295,8295
165,122272,8372,8372
166,201248,8449,8449
167,175616,8526,8526
168,162272,8603,8603
169,129408,8680,8680
170,672,8757,8757
171,704,8834,8834
172,29536,8911,8911
173,800,8988,8988
174,672,9065,9065
175,672,9142,9142
176,672,9219,9219
177,640,9296,9296
178,640,9373,9373
179,672,9450,9450
180,640,9508,9508
181,672,9580,9580
182,640,9638,9638
183,672,9691,9691
184,672,9744,9744
185,640,9797,9797
186,640,9841,9841
187,640,9885,9885
188,640,9929,9929
189,672,9973,9973
190,672,10017,10017
191,10767872,10024,10024
