HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,36480,3,3
1,4640,8,8
2,79840,49,49
3,81152,99,99
4,2976,111,111
5,101504,152,152
6,69024,202,202
7,2496,214,214
8,70752,255,255
9,640,305,305
10,2464,317,317
11,57280,358,358
12,16352,408,408
13,2496,420,420
14,86048,461,461
15,80608,511,511
16,2816,523,523
17,709632,564,564
18,68224,614,614
19,4320,630,630
20,3168,652,652
21,2432,660,660
22,1536,682,682
23,2432,690,690
24,1376,712,712
25,2400,720,720
26,1408,742,742
27,2464,750,750
28,1248,772,772
29,2560,780,780
30,1248,802,802
31,2496,810,810
32,992,832,832
33,2496,840,840
34,1408,862,862
35,2432,870,870
36,1472,892,892
37,2432,900,900
38,1440,922,922
39,2976,930,930
40,1024,952,952
41,2400,960,960
42,1440,982,982
43,19488,1039,1039
44,511040,1113,1113
45,399488,1191,1191
46,9376896,1203,1203
