HUD frame time nsec:,33327000

Range Index,Elapsed Time, First Event,Last Event
0,37216,12,12
1,16704,17,17
2,2272,62,62
3,1856,116,116
4,1376,151,151
5,3200,158,158
6,1088,203,203
7,704,257,257
8,736,292,292
9,3808,299,299
10,736,344,344
11,896,398,398
12,640,433,433
13,3296,440,440
14,768,485,485
15,672,539,539
16,704,574,574
17,3968,581,581
18,736,626,626
19,704,680,680
20,672,715,715
21,3328,722,722
22,704,767,767
23,704,821,821
24,704,856,856
25,3168,863,863
26,1792,908,908
27,672,962,962
28,672,997,997
29,3776,1004,1004
30,640,1049,1049
31,640,1103,1103
32,672,1138,1138
33,3136,1145,1145
34,832,1190,1190
35,832,1244,1244
36,2688,1279,1279
37,3744,1286,1286
38,736,1331,1331
39,704,1385,1385
40,704,1420,1420
41,3808,1427,1427
42,672,1472,1472
43,640,1526,1526
44,640,1561,1561
45,3136,1568,1568
46,864,1613,1613
47,960,1667,1667
48,704,1702,1702
49,3104,1709,1709
50,2272,1754,1754
51,640,1808,1808
52,640,1843,1843
53,3776,1850,1850
54,704,1895,1895
55,704,1949,1949
56,672,1984,1984
57,3872,1991,1991
58,704,2036,2036
59,672,2090,2090
60,768,2125,2125
61,3488,2132,2132
62,1504,2177,2177
63,800,2231,2231
64,736,2266,2266
65,3168,2273,2273
66,1088,2318,2318
67,1024,2372,2372
68,768,2407,2407
69,3840,2414,2414
70,896,2459,2459
71,672,2513,2513
72,768,2548,2548
73,3200,2555,2555
74,2208,2600,2600
75,768,2654,2654
76,704,2689,2689
77,3104,2696,2696
78,864,2741,2741
79,800,2795,2795
80,672,2830,2830
81,3808,2837,2837
82,640,2882,2882
83,672,2936,2936
84,736,2971,2971
85,3168,2978,2978
86,832,3023,3023
87,736,3077,3077
88,672,3112,3112
89,3136,3119,3119
90,864,3164,3164
91,1344,3218,3218
92,672,3253,3253
93,4160,3260,3260
94,704,3305,3305
95,768,3359,3359
96,896,3394,3394
97,3200,3401,3401
98,832,3446,3446
99,1184,3500,3500
100,640,3535,3535
101,3808,3542,3542
102,672,3587,3587
103,672,3641,3641
104,640,3676,3676
105,3776,3683,3683
106,704,3728,3728
107,640,3782,3782
108,640,3817,3817
109,3616,3824,3824
110,640,3869,3869
111,640,3923,3923
112,672,3958,3958
113,3136,3965,3965
114,928,4010,4010
115,832,4064,4064
116,672,4099,4099
117,3840,4106,4106
118,1632,4151,4151
119,672,4205,4205
120,736,4240,4240
121,3744,4247,4247
122,3600256,4292,4292
123,992,4346,4346
124,672,4381,4381
125,3168,4388,4388
126,2080,4433,4433
127,640,4487,4487
128,640,4522,4522
129,3808,4529,4529
130,672,4574,4574
131,672,4628,4628
132,672,4663,4663
133,3168,4670,4670
134,864,4715,4715
135,960,4769,4769
136,640,4804,4804
137,3104,4811,4811
138,896,4856,4856
139,1120,4910,4910
140,640,4945,4945
141,3872,4952,4952
142,1472,4997,4997
143,640,5051,5051
144,640,5086,5086
145,3776,5093,5093
146,1952,5138,5138
147,10336,5192,5192
148,928,5227,5227
149,3552,5234,5234
150,2208,5279,5279
151,640,5333,5333
152,672,5368,5368
153,3744,5375,5375
154,672,5420,5420
155,672,5474,5474
156,672,5509,5509
157,3168,5516,5516
158,10528,5561,5561
159,640,5615,5615
160,640,5650,5650
161,3776,5657,5657
162,1984,5702,5702
163,640,5756,5756
164,672,5791,5791
165,3296,5798,5798
166,2400,5843,5843
167,640,5897,5897
168,640,5932,5932
169,12800,5939,5939
170,640,5984,5984
171,640,6038,6038
172,640,6073,6073
173,3136,6080,6080
174,896,6125,6125
175,800,6179,6179
176,640,6214,6214
177,3104,6221,6221
178,1056,6266,6266
179,640,6320,6320
180,640,6355,6355
181,3776,6362,6362
182,640,6407,6407
183,640,6461,6461
184,672,6496,6496
185,3776,6503,6503
186,640,6548,6548
187,800,6602,6602
188,640,6637,6637
189,12064,6644,6644
190,672,6689,6689
191,640,6743,6743
192,640,6778,6778
193,3104,6785,6785
194,928,6830,6830
195,1664,6884,6884
196,640,6919,6919
197,3776,6926,6926
198,640,6971,6971
199,640,7025,7025
200,640,7060,7060
201,3872,7067,7067
202,640,7112,7112
203,640,7166,7166
204,672,7201,7201
205,3584,7208,7208
206,640,7253,7253
207,640,7307,7307
208,672,7342,7342
209,3648,7349,7349
210,640,7394,7394
211,1536,7448,7448
212,672,7483,7483
213,3168,7490,7490
214,1920,7535,7535
215,640,7589,7589
216,640,7624,7624
217,3680,7631,7631
218,736,7676,7676
219,896,7730,7730
220,672,7765,7765
221,3200,7772,7772
222,1856,7817,7817
223,672,7871,7871
224,672,7906,7906
225,3680,7913,7913
226,672,7958,7958
227,640,8012,8012
228,672,8047,8047
229,3168,8054,8054
230,864,8099,8099
231,640,8153,8153
232,640,8188,8188
233,3104,8195,8195
234,928,8240,8240
235,1760,8294,8294
236,768,8329,8329
237,3744,8336,8336
238,768,8381,8381
239,768,8435,8435
240,800,8470,8470
241,4192,8477,8477
242,768,8522,8522
243,672,8576,8576
244,672,8611,8611
245,3168,8618,8618
246,1888,8663,8663
247,672,8717,8717
248,640,8752,8752
249,3648,8759,8759
250,640,8804,8804
