HUD frame time nsec:,16928000

Range Index,Elapsed Time, First Event,Last Event
0,36160,3,3
1,15200,8,8
2,38016,48,48
3,41312,96,96
4,2496,107,107
5,176960,147,147
6,36704,195,195
7,2464,206,206
8,45056,246,246
9,19200,294,294
10,2464,305,305
11,107040,345,345
12,18080,393,393
13,2464,404,404
14,54816,444,444
15,43648,492,492
16,2464,503,503
17,1162304,543,543
18,34944,591,591
19,2432,604,604
20,3616,626,626
21,2400,632,632
22,1472,654,654
23,2432,660,660
24,1408,682,682
25,2464,688,688
26,1472,710,710
27,2432,716,716
28,1536,738,738
29,2432,744,744
30,1536,766,766
31,2464,772,772
32,1376,794,794
33,2432,800,800
34,1600,822,822
35,2432,828,828
36,1472,850,850
37,2432,856,856
38,1568,878,878
39,2400,884,884
40,11616,906,906
41,2400,912,912
42,1504,934,934
43,2432,940,940
44,1440,962,962
45,2432,968,968
46,1472,990,990
47,2432,996,996
48,1504,1018,1018
49,2432,1024,1024
50,1536,1046,1046
51,2432,1052,1052
52,1696,1074,1074
53,2432,1080,1080
54,1312,1102,1102
55,2432,1108,1108
56,1472,1130,1130
57,2400,1136,1136
58,1632,1158,1158
59,2400,1164,1164
60,1472,1186,1186
61,2688,1192,1192
62,1184,1214,1214
63,2432,1220,1220
64,2496,1242,1242
65,2432,1248,1248
66,1568,1270,1270
67,2464,1276,1276
68,1440,1298,1298
69,2432,1304,1304
70,1632,1326,1326
71,2432,1332,1332
72,1536,1354,1354
73,2464,1360,1360
74,1504,1382,1382
75,2432,1388,1388
76,1472,1410,1410
77,2432,1416,1416
78,1504,1438,1438
79,750560,1511,1511
80,677984,1587,1587
81,928,1645,1645
82,10671616,1651,1651
