HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
0,35840,3,3
1,5216,8,8
2,68768,49,49
3,89632,99,99
4,672,130,130
5,672,157,157
6,672,184,184
7,736,211,211
8,640,238,238
9,672,265,265
10,672,292,292
11,640,319,319
12,672,346,346
13,736,373,373
14,640,400,400
15,640,427,427
16,672,454,454
17,640,481,481
18,672,508,508
19,672,535,535
20,640,562,562
21,2464,570,570
22,757728,611,611
23,28704,661,661
24,672,692,692
25,672,719,719
26,640,746,746
27,672,773,773
28,672,800,800
29,672,827,827
30,672,854,854
31,672,881,881
32,672,908,908
33,672,935,935
34,672,962,962
35,640,989,989
36,640,1016,1016
37,640,1043,1043
38,672,1070,1070
39,672,1097,1097
40,672,1124,1124
41,2464,1132,1132
42,63008,1173,1173
43,864,1223,1223
44,672,1254,1254
45,640,1281,1281
46,640,1308,1308
47,640,1335,1335
48,704,1362,1362
49,640,1389,1389
50,640,1416,1416
51,704,1443,1443
52,640,1470,1470
53,640,1497,1497
54,672,1524,1524
55,640,1551,1551
56,672,1578,1578
57,640,1605,1605
58,672,1632,1632
59,640,1659,1659
60,672,1686,1686
61,2464,1694,1694
62,712864,1735,1735
63,16480,1785,1785
64,768,1816,1816
65,672,1843,1843
66,704,1870,1870
67,704,1897,1897
68,704,1924,1924
69,672,1951,1951
70,640,1978,1978
71,640,2005,2005
72,672,2032,2032
73,640,2059,2059
74,640,2086,2086
75,672,2113,2113
76,672,2140,2140
77,672,2167,2167
78,640,2194,2194
79,640,2221,2221
80,672,2248,2248
81,2464,2256,2256
82,38752,2297,2297
83,22272,2347,2347
84,640,2378,2378
85,736,2405,2405
86,672,2432,2432
87,672,2459,2459
88,640,2486,2486
89,640,2513,2513
90,672,2540,2540
91,640,2567,2567
92,672,2594,2594
93,640,2621,2621
94,640,2648,2648
95,672,2675,2675
96,640,2702,2702
97,672,2729,2729
98,640,2756,2756
99,1024,2783,2783
100,640,2810,2810
101,2464,2818,2818
102,704320,2859,2859
103,86592,2909,2909
104,640,2940,2940
105,672,2967,2967
106,672,2994,2994
107,640,3021,3021
108,640,3048,3048
109,672,3075,3075
110,672,3102,3102
111,672,3129,3129
112,672,3156,3156
113,672,3183,3183
114,736,3210,3210
115,672,3237,3237
116,640,3264,3264
117,672,3291,3291
118,672,3318,3318
119,672,3345,3345
120,640,3372,3372
121,2464,3380,3380
122,73696,3421,3421
123,70656,3471,3471
124,640,3502,3502
125,640,3529,3529
126,672,3556,3556
127,672,3583,3583
128,640,3610,3610
129,640,3637,3637
130,672,3664,3664
131,640,3691,3691
132,672,3718,3718
133,640,3745,3745
134,672,3772,3772
135,640,3799,3799
136,640,3826,3826
137,640,3853,3853
138,640,3880,3880
139,640,3907,3907
140,640,3934,3934
141,2432,3942,3942
142,309888,3983,3983
143,21440,4033,4033
144,672,4064,4064
145,672,4091,4091
146,640,4118,4118
147,672,4145,4145
148,640,4172,4172
149,672,4199,4199
150,672,4226,4226
151,672,4253,4253
152,640,4280,4280
153,640,4307,4307
154,704,4334,4334
155,672,4361,4361
156,640,4388,4388
157,672,4415,4415
158,640,4442,4442
159,640,4469,4469
160,672,4496,4496
161,2432,4504,4504
162,61952,4545,4545
163,640,4595,4595
164,640,4626,4626
165,672,4653,4653
166,640,4680,4680
167,672,4707,4707
168,754016,4734,4734
169,768,4761,4761
170,640,4788,4788
171,672,4815,4815
172,640,4842,4842
173,704,4869,4869
174,672,4896,4896
175,640,4923,4923
176,832,4950,4950
177,672,4977,4977
178,640,5004,5004
179,640,5031,5031
180,10912,5058,5058
181,2432,5066,5066
182,38688,5107,5107
183,16608,5157,5157
184,672,5188,5188
185,768,5215,5215
186,704,5242,5242
187,672,5269,5269
188,640,5296,5296
189,736,5323,5323
190,704,5350,5350
191,640,5377,5377
192,640,5404,5404
193,640,5431,5431
194,672,5458,5458
195,672,5485,5485
196,832,5512,5512
197,640,5539,5539
198,672,5566,5566
199,640,5593,5593
200,640,5620,5620
201,2432,5628,5628
202,38688,5669,5669
203,2442656,5719,5719
204,1536,5750,5750
205,672,5777,5777
206,640,5804,5804
207,672,5831,5831
208,672,5858,5858
209,640,5885,5885
210,672,5912,5912
211,640,5939,5939
212,672,5966,5966
213,640,5993,5993
214,672,6020,6020
215,640,6047,6047
216,640,6074,6074
217,10400,6101,6101
218,640,6128,6128
219,640,6155,6155
220,640,6182,6182
221,2752,6190,6190
222,77056,6231,6231
223,72704,6281,6281
224,672,6312,6312
225,672,6339,6339
226,640,6366,6366
227,640,6393,6393
228,640,6420,6420
229,672,6447,6447
230,640,6474,6474
231,672,6501,6501
232,640,6528,6528
233,672,6555,6555
234,640,6582,6582
235,672,6609,6609
236,640,6636,6636
237,640,6663,6663
238,640,6690,6690
239,640,6717,6717
240,640,6744,6744
241,24448,6803,6803
242,704,6858,6858
243,704,6913,6913
244,704,6968,6968
245,672,7023,7023
246,672,7078,7078
247,992,7133,7133
248,672,7188,7188
249,10272,7243,7243
250,672,7298,7298
251,1056,7353,7353
252,672,7408,7408
253,704,7463,7463
254,704,7518,7518
255,672,7573,7573
256,672,7628,7628
257,672,7683,7683
258,394528,7757,7757
259,273760,7835,7835
260,6384736,7847,7847
