HUD frame time nsec:,16663000

Range Index,Elapsed Time, First Event,Last Event
0,35456,3,3
1,4224,8,8
2,4640,30,30
3,1056,56,56
4,768,82,82
5,736,108,108
6,736,134,134
7,704,160,160
8,704,186,186
9,768,212,212
10,672,238,238
11,672,264,264
12,672,290,290
13,672,316,316
14,768,342,342
15,672,368,368
16,672,394,394
17,672,420,420
18,672,446,446
19,672,472,472
20,640,498,498
21,672,524,524
22,672,550,550
23,640,576,576
24,640,602,602
25,640,628,628
26,672,654,654
27,640,680,680
28,640,706,706
29,640,732,732
30,640,758,758
31,640,784,784
32,640,810,810
33,640,836,836
34,672,862,862
35,640,888,888
36,640,914,914
37,640,940,940
38,672,966,966
39,640,992,992
40,640,1018,1018
41,640,1044,1044
42,640,1070,1070
43,672,1096,1096
44,672,1122,1122
45,640,1148,1148
46,2784,1155,1155
47,1472,1177,1177
48,704,1203,1203
49,672,1229,1229
50,736,1255,1255
51,768,1281,1281
52,768,1307,1307
53,736,1333,1333
54,704,1359,1359
55,640,1385,1385
56,768,1411,1411
57,672,1437,1437
58,704,1463,1463
59,640,1489,1489
60,672,1515,1515
61,672,1541,1541
62,672,1567,1567
63,640,1593,1593
64,640,1619,1619
65,672,1645,1645
66,672,1671,1671
67,672,1697,1697
68,640,1723,1723
69,640,1749,1749
70,640,1775,1775
71,640,1801,1801
72,672,1827,1827
73,672,1853,1853
74,640,1879,1879
75,640,1905,1905
76,640,1931,1931
77,640,1957,1957
78,672,1983,1983
79,640,2009,2009
80,672,2035,2035
81,640,2061,2061
82,640,2087,2087
83,640,2113,2113
84,672,2139,2139
85,672,2165,2165
86,640,2191,2191
87,672,2217,2217
88,672,2243,2243
89,640,2269,2269
90,672,2295,2295
91,2432,2302,2302
92,1536,2324,2324
93,672,2350,2350
94,704,2376,2376
95,672,2402,2402
96,736,2428,2428
97,736,2454,2454
98,768,2480,2480
99,736,2506,2506
100,704,2532,2532
101,704,2558,2558
102,672,2584,2584
103,672,2610,2610
104,672,2636,2636
105,672,2662,2662
106,672,2688,2688
107,672,2714,2714
108,960,2740,2740
109,672,2766,2766
110,672,2792,2792
111,672,2818,2818
112,640,2844,2844
113,640,2870,2870
114,640,2896,2896
115,640,2922,2922
116,640,2948,2948
117,640,2974,2974
118,672,3000,3000
119,640,3026,3026
120,640,3052,3052
121,640,3078,3078
122,640,3104,3104
123,672,3130,3130
124,672,3156,3156
125,640,3182,3182
126,608,3208,3208
127,672,3234,3234
128,640,3260,3260
129,640,3286,3286
130,640,3312,3312
131,672,3338,3338
132,640,3364,3364
133,640,3390,3390
134,640,3416,3416
135,640,3442,3442
136,2592,3449,3449
137,1280,3471,3471
138,704,3497,3497
139,704,3523,3523
140,672,3549,3549
141,1056,3575,3575
142,704,3601,3601
143,736,3627,3627
144,736,3653,3653
145,704,3679,3679
146,736,3705,3705
147,640,3731,3731
148,672,3757,3757
149,672,3783,3783
150,672,3809,3809
151,672,3835,3835
152,992,3861,3861
153,672,3887,3887
154,672,3913,3913
155,672,3939,3939
156,640,3965,3965
157,672,3991,3991
158,640,4017,4017
159,640,4043,4043
160,640,4069,4069
161,640,4095,4095
162,640,4121,4121
163,640,4147,4147
164,672,4173,4173
165,672,4199,4199
166,640,4225,4225
167,672,4251,4251
168,640,4277,4277
169,640,4303,4303
170,736,4329,4329
171,672,4355,4355
172,640,4381,4381
173,640,4407,4407
174,640,4433,4433
175,640,4459,4459
176,672,4485,4485
177,640,4511,4511
178,672,4537,4537
179,640,4563,4563
180,640,4589,4589
181,2400,4596,4596
182,1504,4618,4618
183,768,4644,4644
184,736,4670,4670
185,768,4696,4696
186,640,4722,4722
187,640,4748,4748
188,672,4774,4774
189,640,4800,4800
190,672,4826,4826
191,640,4852,4852
192,672,4878,4878
193,640,4904,4904
194,640,4930,4930
195,640,4956,4956
196,672,4982,4982
197,640,5008,5008
198,640,5034,5034
199,640,5060,5060
200,672,5086,5086
201,4700640,5112,5112
202,768,5138,5138
203,992,5164,5164
204,704,5190,5190
205,704,5216,5216
206,672,5242,5242
207,672,5268,5268
208,672,5294,5294
209,672,5320,5320
210,640,5346,5346
211,672,5372,5372
212,640,5398,5398
213,640,5424,5424
214,640,5450,5450
215,640,5476,5476
216,640,5502,5502
217,672,5528,5528
218,640,5554,5554
219,640,5580,5580
220,672,5606,5606
221,640,5632,5632
222,672,5658,5658
223,672,5684,5684
224,640,5710,5710
225,640,5736,5736
226,2784,5743,5743
227,1184,5765,5765
228,704,5791,5791
229,704,5817,5817
230,672,5843,5843
231,768,5869,5869
232,672,5895,5895
233,672,5921,5921
234,768,5947,5947
235,768,5973,5973
236,736,5999,5999
237,640,6025,6025
238,672,6051,6051
239,672,6077,6077
240,672,6103,6103
241,704,6129,6129
242,672,6155,6155
243,704,6181,6181
244,672,6207,6207
245,672,6233,6233
246,672,6259,6259
247,672,6285,6285
248,640,6311,6311
249,640,6337,6337
250,672,6363,6363
251,640,6389,6389
252,672,6415,6415
253,672,6441,6441
254,640,6467,6467
255,640,6493,6493
256,640,6519,6519
257,640,6545,6545
258,672,6571,6571
259,640,6597,6597
260,640,6623,6623
261,640,6649,6649
262,672,6675,6675
263,640,6701,6701
264,640,6727,6727
265,640,6753,6753
266,640,6779,6779
267,640,6805,6805
268,640,6831,6831
269,640,6857,6857
270,640,6883,6883
271,2400,6890,6890
272,1536,6912,6912
273,704,6938,6938
274,672,6964,6964
275,736,6990,6990
276,672,7016,7016
277,640,7042,7042
278,736,7068,7068
279,672,7094,7094
280,672,7120,7120
281,736,7146,7146
282,640,7172,7172
283,640,7198,7198
284,672,7224,7224
285,672,7250,7250
286,704,7276,7276
287,672,7302,7302
288,640,7328,7328
289,672,7354,7354
290,672,7380,7380
291,672,7406,7406
292,672,7432,7432
293,640,7458,7458
294,672,7484,7484
295,640,7510,7510
296,640,7536,7536
297,672,7562,7562
298,640,7588,7588
299,672,7614,7614
300,640,7640,7640
301,672,7666,7666
302,640,7692,7692
303,672,7718,7718
304,640,7744,7744
305,640,7770,7770
306,640,7796,7796
307,672,7822,7822
308,640,7848,7848
309,672,7874,7874
310,640,7900,7900
311,640,7926,7926
312,672,7952,7952
313,672,7978,7978
314,672,8004,8004
315,640,8030,8030
316,2400,8037,8037
317,1536,8059,8059
318,736,8085,8085
319,736,8111,8111
320,704,8137,8137
321,704,8163,8163
322,736,8189,8189
323,736,8215,8215
324,768,8241,8241
325,704,8267,8267
326,704,8293,8293
327,672,8319,8319
328,672,8345,8345
329,672,8371,8371
330,672,8397,8397
331,672,8423,8423
332,672,8449,8449
333,672,8475,8475
334,672,8501,8501
335,672,8527,8527
336,672,8553,8553
337,672,8579,8579
338,640,8605,8605
339,640,8631,8631
340,640,8657,8657
341,640,8683,8683
342,640,8709,8709
343,640,8735,8735
344,640,8761,8761
345,672,8787,8787
346,640,8813,8813
347,640,8839,8839
348,672,8865,8865
349,640,8891,8891
350,640,8917,8917
351,640,8943,8943
352,672,8969,8969
353,672,8995,8995
354,640,9021,9021
355,640,9047,9047
356,672,9073,9073
357,672,9099,9099
358,672,9125,9125
359,640,9151,9151
360,640,9177,9177
361,2400,9184,9184
362,1504,9206,9206
