HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,36448,3,3
1,13824,8,8
2,62816,49,49
3,68000,99,99
4,2496,111,111
5,110016,152,152
6,82368,202,202
7,2560,214,214
8,38176,255,255
9,24000,305,305
10,2496,317,317
11,221792,358,358
12,16128,408,408
13,2432,420,420
14,54912,461,461
15,66944,511,511
16,2464,523,523
17,579456,564,564
18,90752,614,614
19,4064,630,630
20,3296,652,652
21,2368,660,660
22,1472,682,682
23,2368,690,690
24,1536,712,712
25,2400,720,720
26,1376,742,742
27,2400,750,750
28,1376,772,772
29,2368,780,780
30,1440,802,802
31,2400,810,810
32,1472,832,832
33,2400,840,840
34,1408,862,862
35,2400,870,870
36,1504,892,892
37,2400,900,900
38,1504,922,922
39,2400,930,930
40,1408,952,952
41,2400,960,960
42,1376,982,982
43,19840,1039,1039
44,449344,1113,1113
45,389120,1191,1191
46,10578688,1203,1203
