HUD frame time nsec:,16663000

Range Index,Elapsed Time, First Event,Last Event
0,34208,3,3
1,4448,8,8
2,3872,30,30
3,2816,38,38
4,1088,60,60
5,2400,68,68
6,1408,90,90
7,2368,98,98
8,1472,120,120
9,2400,128,128
10,1440,150,150
11,2400,158,158
12,1536,180,180
13,2464,188,188
14,1024,210,210
15,2560,218,218
16,1440,240,240
17,2720,248,248
18,1088,270,270
19,2560,278,278
20,1280,300,300
21,2528,308,308
22,1248,330,330
23,2400,338,338
24,1376,360,360
25,2496,370,370
26,74528,411,411
27,76192,461,461
28,2496,473,473
29,67392,514,514
30,22688,564,564
31,2432,576,576
32,62656,617,617
33,672,667,667
34,2432,679,679
35,185024,720,720
36,16384,770,770
37,2464,782,782
38,39776,823,823
39,17952,873,873
40,2432,885,885
41,178784,926,926
42,93024,976,976
43,18176,1039,1039
44,238944,1113,1113
45,196512,1191,1191
46,11205888,1203,1203
