HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,37216,12,12
1,5760,17,17
2,4192,62,62
3,1248,116,116
4,640,151,151
5,3136,158,158
6,864,203,203
7,1216,257,257
8,640,292,292
9,3776,299,299
10,640,344,344
11,672,398,398
12,736,433,433
13,3136,440,440
14,896,485,485
15,672,539,539
16,640,574,574
17,3744,581,581
18,640,626,626
19,1312,680,680
20,640,715,715
21,3136,722,722
22,1824,767,767
23,640,821,821
24,640,856,856
25,3872,863,863
26,672,908,908
27,672,962,962
28,640,997,997
29,3136,1004,1004
30,864,1049,1049
31,992,1103,1103
32,864,1138,1138
33,3776,1145,1145
34,640,1190,1190
35,640,1244,1244
36,672,1279,1279
37,3136,1286,1286
38,864,1331,1331
39,640,1385,1385
40,640,1420,1420
41,3744,1427,1427
42,672,1472,1472
43,672,1526,1526
44,640,1561,1561
45,3744,1568,1568
46,640,1613,1613
47,992,1667,1667
48,672,1702,1702
49,3680,1709,1709
50,640,1754,1754
51,896,1808,1808
52,672,1843,1843
53,3104,1850,1850
54,1952,1895,1895
55,672,1949,1949
56,640,1984,1984
57,3072,1991,1991
58,896,2036,2036
59,640,2090,2090
60,640,2125,2125
61,3136,2132,2132
62,1056,2177,2177
63,608,2231,2231
64,672,2266,2266
65,3872,2273,2273
66,640,2318,2318
67,704,2372,2372
68,640,2407,2407
69,3136,2414,2414
70,832,2459,2459
71,1088,2513,2513
72,640,2548,2548
73,3104,2557,2557
74,614112,2602,2602
75,672,2656,2656
76,704,2710,2710
77,672,2764,2764
78,672,2818,2818
79,37280,2872,2872
80,13696,2926,2926
81,672,2980,2980
82,704,3034,3034
83,6784,3088,3088
84,8288,3142,3142
85,5664,3196,3196
86,9312,3250,3250
87,3392,3304,3304
88,4544,3358,3358
89,2016,3412,3412
90,1888,3466,3466
91,640,3520,3520
92,640,3574,3574
93,640,3628,3628
94,672,3682,3682
95,3136,3694,3694
96,331424,3739,3739
97,1472,3793,3793
98,704,3847,3847
99,672,3901,3901
100,704,3955,3955
101,47072,4009,4009
102,15232,4063,4063
103,2208,4117,4117
104,4224,4171,4171
105,8544,4225,4225
106,8352,4279,4279
107,8160,4333,4333
108,7968,4387,4387
109,4576,4441,4441
110,896,4495,4495
111,1888,4549,4549
112,640,4603,4603
113,672,4657,4657
114,640,4711,4711
115,672,4765,4765
116,640,4819,4819
117,3104,4831,4831
118,245792,4876,4876
119,640,4930,4930
120,417248,4984,4984
121,736,5038,5038
122,704,5092,5092
123,30752,5146,5146
124,18464,5200,5200
125,704,5254,5254
126,640,5308,5308
127,1472,5362,5362
128,6944,5416,5416
129,7008,5470,5470
130,6944,5524,5524
131,5216,5578,5578
132,5216,5632,5632
133,5280,5686,5686
134,5120,5740,5740
135,672,5794,5794
136,672,5848,5848
137,704,5902,5902
138,2400,5956,5956
139,3104,5968,5968
140,55264,6013,6013
141,640,6067,6067
142,704,6121,6121
143,672,6175,6175
144,704,6229,6229
145,29568,6283,6283
146,9088,6337,6337
147,1920,6391,6391
148,1792,6445,6445
149,871200,6499,6499
150,6848,6553,6553
151,6944,6607,6607
152,6528,6661,6661
153,5184,6715,6715
154,5152,6769,6769
155,5248,6823,6823
156,5664,6877,6877
157,704,6931,6931
158,832,6985,6985
159,704,7039,7039
160,1888,7093,7093
161,3232,7105,7105
162,199680,7150,7150
163,2912,7204,7204
164,768,7258,7258
165,1248,7312,7312
166,768,7366,7366
167,66240,7420,7420
168,640,7474,7474
169,1536,7528,7528
170,2304,7582,7582
171,21408,7636,7636
172,1504,7690,7690
173,672,7744,7744
174,5056,7798,7798
175,800,7852,7852
176,704,7906,7906
177,8704,7960,7960
178,704,8014,8014
179,704,8068,8068
180,800,8122,8122
181,704,8176,8176
182,14368,8230,8230
183,3360,8242,8242
184,577504,8287,8287
185,2016,8341,8341
186,1248,8395,8395
187,2880,8449,8449
188,1312,8503,8503
189,54400,8557,8557
190,9664,8611,8611
191,960,8665,8665
192,896,8719,8719
193,8800,8773,8773
194,9472,8827,8827
195,8864,8881,8881
196,9120,8935,8935
197,3776,8989,8989
198,5184,9043,9043
199,7808,9097,9097
200,12928,9151,9151
201,672,9205,9205
202,704,9259,9259
203,640,9313,9313
204,672,9367,9367
205,3781376,9448,9448
206,64640,9525,9525
207,31552,9602,9602
208,35744,9679,9679
209,35360,9756,9756
210,1620992,9833,9833
211,344512,9910,9910
212,57952,9987,9987
213,28512,10064,10064
214,230912,10141,10141
215,192512,10218,10218
216,181408,10295,10295
217,164544,10372,10372
218,142304,10449,10449
219,83008,10526,10526
220,115360,10603,10603
221,98432,10680,10680
222,640,10757,10757
223,672,10834,10834
224,672,10911,10911
225,640,10988,10988
226,640,11065,11065
227,672,11142,11142
228,640,11200,11200
229,640,11272,11272
230,640,11330,11330
231,640,11383,11383
232,640,11436,11436
233,640,11489,11489
234,640,11533,11533
235,640,11577,11577
236,640,11621,11621
237,704,11665,11665
238,672,11709,11709
239,7489088,11716,11716
