HUD frame time nsec:,16662000

Range Index,Elapsed Time, First Event,Last Event
0,41568,3,3
1,4256,8,8
2,48320,48,48
3,36352,96,96
4,2464,107,107
5,274144,147,147
6,34432,195,195
7,2464,206,206
8,42048,246,246
9,17696,294,294
10,2464,305,305
11,641632,345,345
12,17696,393,393
13,2496,404,404
14,50976,444,444
15,44288,492,492
16,2464,503,503
17,42080,543,543
18,32832,591,591
19,2432,604,604
20,3296,626,626
21,2400,632,632
22,1408,654,654
23,2400,660,660
24,1472,682,682
25,2432,688,688
26,1376,710,710
27,2400,716,716
28,1376,738,738
29,2432,744,744
30,1472,766,766
31,2400,772,772
32,1632,794,794
33,2400,800,800
34,1440,822,822
35,2368,828,828
36,1440,850,850
37,2368,856,856
38,1408,878,878
39,3211136,884,884
40,1472,906,906
41,2560,912,912
42,1376,934,934
43,2400,940,940
44,1472,962,962
45,2464,968,968
46,1536,990,990
47,12288,996,996
48,672,1018,1018
49,2400,1024,1024
50,1376,1046,1046
51,2432,1052,1052
52,1376,1074,1074
53,2400,1080,1080
54,1408,1102,1102
55,2400,1108,1108
56,1408,1130,1130
57,2400,1136,1136
58,1376,1158,1158
59,2368,1164,1164
60,1376,1186,1186
61,2432,1192,1192
62,1504,1214,1214
63,2400,1220,1220
64,1376,1242,1242
65,2400,1248,1248
66,1504,1270,1270
67,2560,1276,1276
68,1280,1298,1298
69,2368,1304,1304
70,1408,1326,1326
71,2400,1332,1332
72,1536,1354,1354
73,2400,1360,1360
74,1408,1382,1382
75,2400,1388,1388
76,1536,1410,1410
77,2400,1416,1416
78,1376,1438,1438
79,2400,1444,1444
80,1536,1466,1466
81,2368,1472,1472
82,1472,1494,1494
83,2400,1500,1500
84,1440,1522,1522
85,2368,1528,1528
86,1504,1550,1550
87,2400,1556,1556
88,1504,1578,1578
89,2400,1584,1584
90,1408,1606,1606
91,2368,1612,1612
92,1440,1634,1634
93,2432,1640,1640
94,1248,1662,1662
95,2432,1668,1668
96,1632,1690,1690
97,2400,1696,1696
98,1600,1718,1718
99,2400,1724,1724
100,1472,1746,1746
101,2720,1752,1752
102,1216,1774,1774
103,2432,1780,1780
104,1376,1802,1802
105,2400,1808,1808
106,1472,1830,1830
107,2432,1836,1836
108,1664,1858,1858
109,2496,1864,1864
110,1344,1886,1886
111,2400,1892,1892
112,1536,1914,1914
113,2400,1920,1920
114,1536,1942,1942
115,2368,1948,1948
116,1472,1970,1970
117,2400,1976,1976
118,1440,1998,1998
119,2368,2004,2004
120,1472,2026,2026
121,2400,2032,2032
122,1472,2054,2054
123,2400,2060,2060
124,1376,2082,2082
125,2368,2088,2088
126,1472,2110,2110
127,2400,2116,2116
128,1408,2138,2138
129,2368,2144,2144
130,1472,2166,2166
131,2368,2172,2172
132,1408,2194,2194
133,2400,2200,2200
134,1440,2222,2222
135,2368,2228,2228
136,1344,2250,2250
137,2400,2256,2256
138,1472,2278,2278
139,2368,2284,2284
140,1568,2306,2306
141,2368,2312,2312
142,1376,2334,2334
143,2464,2340,2340
144,1440,2362,2362
145,2400,2368,2368
146,1664,2390,2390
147,2400,2396,2396
148,1408,2418,2418
149,2400,2424,2424
150,1440,2446,2446
151,2432,2452,2452
152,1504,2474,2474
153,2368,2480,2480
154,1472,2502,2502
155,2400,2508,2508
156,1504,2530,2530
157,2400,2536,2536
158,1440,2558,2558
159,2368,2564,2564
160,1504,2586,2586
161,2400,2592,2592
162,1376,2614,2614
163,2400,2620,2620
164,1440,2642,2642
165,2400,2648,2648
166,1408,2670,2670
167,2400,2676,2676
168,1440,2698,2698
169,2400,2704,2704
170,1440,2726,2726
171,2400,2732,2732
172,1472,2754,2754
173,2400,2760,2760
174,1472,2782,2782
175,2400,2788,2788
176,1504,2810,2810
177,2400,2816,2816
178,1408,2838,2838
179,2400,2844,2844
180,1472,2866,2866
181,2400,2872,2872
182,1504,2894,2894
183,2400,2900,2900
184,1472,2922,2922
185,2400,2928,2928
186,1408,2950,2950
187,2400,2956,2956
188,1440,2978,2978
189,2400,2984,2984
