HUD frame time nsec:,16663000

Range Index,Elapsed Time, First Event,Last Event
0,35232,3,3
1,4672,8,8
2,70944,49,49
3,67520,99,99
4,2880,111,111
5,102176,152,152
6,82176,202,202
7,2432,214,214
8,70720,255,255
9,640,305,305
10,2432,317,317
11,107840,358,358
12,16320,408,408
13,2496,420,420
14,85952,461,461
15,81184,511,511
16,3200,523,523
17,709824,564,564
18,54624,614,614
19,4064,630,630
20,3296,652,652
21,2720,660,660
22,1120,682,682
23,2400,690,690
24,1472,712,712
25,2400,720,720
26,1472,742,742
27,2432,750,750
28,1472,772,772
29,2368,780,780
30,1408,802,802
31,2400,810,810
32,1376,832,832
33,2400,840,840
34,1408,862,862
35,2400,870,870
36,1440,892,892
37,2432,900,900
38,1440,922,922
39,2400,930,930
40,1504,952,952
41,2400,960,960
42,1344,982,982
43,19808,1039,1039
44,471488,1113,1113
45,400640,1191,1191
46,10302304,1203,1203
