HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
322,672,8503,8503
323,704,8530,8530
324,736,8557,8557
325,704,8584,8584
326,704,8611,8611
327,800,8638,8638
328,672,8665,8665
329,640,8692,8692
330,672,8719,8719
331,672,8746,8746
332,672,8773,8773
333,672,8800,8800
334,672,8827,8827
335,672,8854,8854
336,672,8881,8881
337,672,8908,8908
338,640,8935,8935
339,640,8962,8962
340,640,8989,8989
341,640,9016,9016
342,640,9043,9043
343,672,9070,9070
344,640,9097,9097
345,640,9124,9124
346,672,9151,9151
347,640,9178,9178
348,640,9205,9205
349,640,9232,9232
350,672,9259,9259
351,640,9286,9286
352,640,9313,9313
353,640,9340,9340
354,640,9367,9367
355,640,9394,9394
356,672,9421,9421
357,672,9448,9448
358,640,9475,9475
359,640,9502,9502
360,640,9529,9529
361,2496,9536,9536
362,1408,9559,9559
363,704,9586,9586
364,768,9613,9613
365,768,9640,9640
366,704,9667,9667
367,672,9694,9694
368,736,9721,9721
369,768,9748,9748
370,704,9775,9775
371,736,9802,9802
372,672,9829,9829
373,672,9856,9856
374,672,9883,9883
375,640,9910,9910
376,672,9937,9937
377,672,9964,9964
378,640,9991,9991
379,640,10018,10018
380,640,10045,10045
381,672,10072,10072
382,672,10099,10099
383,640,10126,10126
384,640,10153,10153
385,672,10180,10180
386,672,10207,10207
387,672,10234,10234
388,640,10261,10261
389,672,10288,10288
390,640,10315,10315
391,672,10342,10342
392,640,10369,10369
393,640,10396,10396
394,672,10423,10423
395,672,10450,10450
396,672,10477,10477
397,640,10504,10504
398,640,10531,10531
399,672,10558,10558
400,640,10585,10585
401,640,10612,10612
402,640,10639,10639
403,672,10666,10666
404,672,10693,10693
405,672,10720,10720
406,2432,10727,10727
407,1568,10750,10750
408,704,10777,10777
409,768,10804,10804
410,640,10831,10831
411,768,10858,10858
412,768,10885,10885
413,672,10912,10912
414,672,10939,10939
415,736,10966,10966
416,768,10993,10993
417,640,11020,11020
418,640,11047,11047
419,672,11074,11074
420,672,11101,11101
421,672,11128,11128
422,672,11155,11155
423,640,11182,11182
424,672,11209,11209
425,672,11236,11236
426,672,11263,11263
427,672,11290,11290
428,672,11317,11317
429,672,11344,11344
430,672,11371,11371
431,640,11398,11398
432,640,11425,11425
433,640,11452,11452
434,672,11479,11479
435,672,11506,11506
436,672,11533,11533
437,672,11560,11560
438,672,11587,11587
439,672,11614,11614
440,640,11641,11641
441,640,11668,11668
442,672,11695,11695
443,640,11722,11722
444,672,11749,11749
445,640,11776,11776
446,672,11803,11803
447,640,11830,11830
448,672,11857,11857
449,640,11884,11884
450,640,11911,11911
451,2400,11918,11918
452,1504,11941,11941
453,736,11968,11968
454,704,11995,11995
455,672,12022,12022
456,672,12049,12049
457,672,12076,12076
458,672,12103,12103
459,640,12130,12130
460,672,12157,12157
461,640,12184,12184
462,640,12211,12211
463,640,12238,12238
464,640,12265,12265
465,640,12292,12292
466,672,12319,12319
467,927200,12346,12346
468,768,12373,12373
469,768,12400,12400
470,736,12427,12427
471,768,12454,12454
472,640,12481,12481
473,672,12508,12508
474,640,12535,12535
475,640,12562,12562
476,640,12589,12589
477,640,12616,12616
478,672,12643,12643
