HUD frame time nsec:,17985000

Range Index,Elapsed Time, First Event,Last Event
0,37632,12,12
1,5600,17,17
2,4064,62,62
3,1312,116,116
4,672,151,151
5,3776,158,158
6,1344,203,203
7,640,257,257
8,672,292,292
9,3104,299,299
10,896,344,344
11,672,398,398
12,672,433,433
13,3104,440,440
14,928,485,485
15,672,539,539
16,640,574,574
17,3072,581,581
18,896,626,626
19,1152,680,680
20,672,715,715
21,3776,722,722
22,1568,767,767
23,640,821,821
24,640,856,856
25,3648,863,863
26,672,908,908
27,1184,962,962
28,640,997,997
29,3552,1004,1004
30,640,1049,1049
31,672,1103,1103
32,640,1138,1138
33,3776,1145,1145
34,640,1190,1190
35,640,1244,1244
36,640,1279,1279
37,3232,1286,1286
38,768,1331,1331
39,672,1385,1385
40,640,1420,1420
41,3744,1427,1427
42,640,1472,1472
43,960,1526,1526
44,672,1561,1561
45,3168,1568,1568
46,864,1613,1613
47,1600,1667,1667
48,768,1702,1702
49,3072,1709,1709
50,864,1754,1754
51,1536,1808,1808
52,672,1843,1843
53,3776,1850,1850
54,640,1895,1895
55,640,1949,1949
56,640,1984,1984
57,3776,1991,1991
58,704,2036,2036
59,672,2090,2090
60,640,2125,2125
61,3520,2132,2132
62,640,2177,2177
63,640,2231,2231
64,672,2266,2266
65,3776,2273,2273
66,640,2318,2318
67,1376,2372,2372
68,896,2407,2407
69,3168,2414,2414
70,1952,2459,2459
71,640,2513,2513
72,640,2548,2548
73,3072,2555,2555
74,928,2600,2600
75,1280,2654,2654
76,640,2689,2689
77,3776,2696,2696
78,1280,2741,2741
79,640,2795,2795
80,2491296,2830,2830
81,3776,2837,2837
82,672,2882,2882
83,640,2936,2936
84,672,2971,2971
85,3168,2978,2978
86,896,3023,3023
87,672,3077,3077
88,640,3112,3112
89,3072,3119,3119
90,896,3164,3164
91,1824,3218,3218
92,800,3253,3253
93,3104,3260,3260
94,1920,3305,3305
95,672,3359,3359
96,640,3394,3394
97,3776,3401,3401
98,672,3446,3446
99,640,3500,3500
100,640,3535,3535
101,3360,3542,3542
102,1632,3587,3587
103,640,3641,3641
104,672,3676,3676
105,3776,3683,3683
106,672,3728,3728
107,672,3782,3782
108,672,3817,3817
109,3136,3824,3824
110,864,3869,3869
111,640,3923,3923
112,640,3958,3958
113,3072,3965,3965
114,896,4010,4010
115,1536,4064,4064
116,640,4099,4099
117,3488,4106,4106
118,1632,4151,4151
119,672,4205,4205
120,672,4240,4240
121,3296,4247,4247
122,704,4292,4292
123,1152,4346,4346
124,640,4381,4381
125,3776,4388,4388
126,1408,4433,4433
127,640,4487,4487
128,672,4522,4522
129,3776,4529,4529
130,640,4574,4574
131,672,4628,4628
132,672,4663,4663
133,3136,4670,4670
134,864,4715,4715
135,928,4769,4769
136,640,4804,4804
137,3776,4811,4811
138,640,4856,4856
139,800,4910,4910
140,640,4945,4945
141,3136,4952,4952
142,896,4997,4997
143,1248,5051,5051
144,672,5086,5086
145,3648,5093,5093
146,640,5138,5138
147,928,5192,5192
148,672,5227,5227
149,3168,5234,5234
150,2016,5279,5279
151,640,5333,5333
152,768,5368,5368
153,3072,5375,5375
154,928,5420,5420
155,672,5474,5474
156,640,5509,5509
157,3072,5516,5516
158,928,5561,5561
159,640,5615,5615
160,640,5650,5650
161,3072,5657,5657
162,896,5702,5702
163,1472,5756,5756
164,640,5791,5791
165,3776,5798,5798
166,672,5843,5843
167,672,5897,5897
168,672,5932,5932
169,3104,5939,5939
170,896,5984,5984
171,672,6038,6038
172,640,6073,6073
173,3552,6080,6080
174,640,6125,6125
175,1088,6179,6179
176,640,6214,6214
177,3648,6221,6221
178,640,6266,6266
179,672,6320,6320
180,672,6355,6355
181,3136,6362,6362
182,896,6407,6407
183,640,6461,6461
184,672,6496,6496
185,3776,6503,6503
186,672,6548,6548
187,1184,6602,6602
188,672,6637,6637
189,3200,6644,6644
190,800,6689,6689
191,1408,6743,6743
192,672,6778,6778
193,3776,6785,6785
194,640,6830,6830
195,672,6884,6884
196,672,6919,6919
197,3168,6926,6926
198,864,6971,6971
199,1248,7025,7025
200,640,7060,7060
201,3808,7067,7067
202,672,7112,7112
203,640,7166,7166
204,672,7201,7201
205,3104,7208,7208
206,3559168,7253,7253
207,672,7307,7307
208,640,7342,7342
209,3776,7349,7349
210,640,7394,7394
211,1248,7448,7448
212,640,7483,7483
213,3136,7490,7490
214,1824,7535,7535
215,672,7589,7589
216,672,7624,7624
217,3776,7631,7631
218,672,7676,7676
219,1024,7730,7730
220,672,7765,7765
221,3168,7772,7772
222,1952,7817,7817
223,672,7871,7871
224,672,7906,7906
225,3776,7913,7913
226,640,7958,7958
227,640,8012,8012
228,672,8047,8047
229,3776,8054,8054
230,640,8099,8099
231,672,8153,8153
232,672,8188,8188
233,3776,8195,8195
234,672,8240,8240
235,640,8294,8294
236,672,8329,8329
237,3136,8336,8336
238,832,8381,8381
239,640,8435,8435
240,640,8470,8470
241,3840,8477,8477
242,640,8522,8522
243,1056,8576,8576
244,640,8611,8611
245,3136,8618,8618
246,1920,8663,8663
247,640,8717,8717
248,640,8752,8752
249,3840,8759,8759
250,640,8804,8804
251,640,8858,8858
252,672,8893,8893
253,3136,8900,8900
254,864,8945,8945
255,672,8999,8999
256,672,9034,9034
257,3520,9041,9041
258,640,9086,9086
259,960,9140,9140
260,640,9175,9175
261,3168,9182,9182
262,896,9227,9227
263,672,9281,9281
264,928,9316,9316
265,3776,9323,9323
266,672,9368,9368
267,864,9422,9422
268,640,9457,9457
269,3136,9464,9464
270,1120,9509,9509
271,672,9563,9563
272,640,9598,9598
273,3872,9605,9605
274,640,9650,9650
275,640,9704,9704
276,672,9739,9739
277,3136,9746,9746
278,832,9791,9791
279,640,9845,9845
280,640,9880,9880
281,3776,9887,9887
282,672,9932,9932
283,640,9986,9986
284,640,10021,10021
285,4032,10028,10028
286,640,10073,10073
287,768,10127,10127
288,640,10162,10162
289,3776,10169,10169
290,640,10214,10214
291,640,10268,10268
292,640,10303,10303
293,3136,10310,10310
294,1056,10355,10355
295,832,10409,10409
296,640,10444,10444
297,3808,10451,10451
298,640,10496,10496
299,640,10550,10550
300,672,10585,10585
301,3136,10592,10592
302,1504,10637,10637
303,672,10691,10691
304,640,10726,10726
305,3776,10733,10733
306,672,10778,10778
307,672,10832,10832
308,640,10867,10867
309,16704,10874,10874
310,672,10919,10919
311,640,10973,10973
312,640,11008,11008
313,3776,11015,11015
314,640,11060,11060
315,832,11114,11114
316,640,11149,11149
317,3136,11156,11156
318,768,11201,11201
319,1216,11255,11255
320,640,11290,11290
321,16032,11297,11297
322,1120,11342,11342
323,640,11396,11396
324,640,11431,11431
325,3168,11438,11438
326,768,11483,11483
327,672,11537,11537
328,640,11572,11572
329,3840,11579,11579
330,640,11624,11624
331,1056,11678,11678
332,640,11713,11713
333,3136,11720,11720
334,896,11765,11765
335,1664,11819,11819
336,640,11854,11854
337,3840,11861,11861
338,640,11906,11906
339,736,11960,11960
340,672,11995,11995
341,3168,12002,12002
342,864,12047,12047
343,1056,12101,12101
344,640,12136,12136
345,3680,12143,12143
346,640,12188,12188
347,640,12242,12242
348,640,12277,12277
349,3360,12284,12284
350,672,12329,12329
351,672,12383,12383
352,640,12418,12418
353,3072,12425,12425
354,896,12470,12470
355,960,12524,12524
356,640,12559,12559
