HUD frame time nsec:,16662000

Range Index,Elapsed Time, First Event,Last Event
0,35456,3,3
1,4320,8,8
2,79456,49,49
3,81184,99,99
4,2464,111,111
5,100928,152,152
6,68800,202,202
7,2432,214,214
8,70720,255,255
9,640,305,305
10,2464,317,317
11,141920,358,358
12,16320,408,408
13,2432,420,420
14,54880,461,461
15,67040,511,511
16,2432,523,523
17,733888,564,564
18,86240,614,614
19,4064,630,630
20,3616,652,652
21,2400,660,660
22,1472,682,682
23,2368,690,690
24,1472,712,712
25,2400,720,720
26,1504,742,742
27,2400,750,750
28,1504,772,772
29,2432,780,780
30,1376,802,802
31,2720,810,810
32,1248,832,832
33,2816,840,840
34,1024,862,862
35,2400,870,870
36,1792,892,892
37,2368,900,900
38,1504,922,922
39,2368,930,930
40,1472,952,952
41,2400,960,960
42,1440,982,982
43,18848,1039,1039
44,563968,1113,1113
45,531424,1191,1191
46,10743520,1203,1203
