HUD frame time nsec:,16661000

Range Index,Elapsed Time, First Event,Last Event
0,35680,3,3
1,4288,8,8
2,79712,49,49
3,81152,99,99
4,2496,111,111
5,106048,152,152
6,67456,202,202
7,2496,214,214
8,71552,255,255
9,864,305,305
10,2432,317,317
11,359104,358,358
12,16352,408,408
13,2464,420,420
14,86208,461,461
15,81056,511,511
16,2464,523,523
17,1524128,564,564
18,68384,614,614
19,19008,630,630
20,672,652,652
21,2400,660,660
22,1344,682,682
23,2400,690,690
24,1408,712,712
25,2656,720,720
26,1312,742,742
27,2400,750,750
28,1568,772,772
29,2400,780,780
30,1408,802,802
31,2432,810,810
32,1152,832,832
33,2400,840,840
34,1440,862,862
35,2432,870,870
36,1440,892,892
37,2400,900,900
38,1920,922,922
39,2400,930,930
40,1504,952,952
41,2464,960,960
42,1344,982,982
43,19648,1039,1039
44,538592,1113,1113
45,537888,1191,1191
46,9988928,1203,1203
