HUD frame time nsec:,16662000

Range Index,Elapsed Time, First Event,Last Event
0,35776,3,3
1,4384,8,8
2,61248,49,49
3,88224,99,99
4,640,130,130
5,2464,138,138
6,72480,179,179
7,24832,229,229
8,640,260,260
9,2464,268,268
10,60032,309,309
11,1344,359,359
12,672,390,390
13,2432,398,398
14,232352,439,439
15,12864,489,489
16,672,520,520
17,2656,528,528
18,38976,569,569
19,39552,619,619
20,640,650,650
21,2464,658,658
22,273280,699,699
23,84384,749,749
24,640,780,780
25,2464,788,788
26,73568,829,829
27,69952,879,879
28,640,910,910
29,2432,918,918
30,94944,959,959
31,21152,1009,1009
32,832,1040,1040
33,2464,1048,1048
34,62016,1089,1089
35,640,1139,1139
36,672,1170,1170
37,2432,1178,1178
38,172320,1219,1219
39,15584,1269,1269
40,672,1300,1300
41,2464,1308,1308
42,38816,1349,1349
43,23136,1399,1399
44,1120,1430,1430
45,2816,1438,1438
46,72416,1479,1479
47,164128,1529,1529
48,672,1560,1560
49,2464,1570,1570
50,58624,1611,1611
51,84320,1661,1661
52,2432,1673,1673
53,45216,1714,1714
54,50752,1764,1764
55,2432,1776,1776
56,59904,1817,1817
57,1376,1867,1867
58,2432,1879,1879
59,38560,1920,1920
60,34688,1970,1970
61,2432,1982,1982
62,38592,2023,2023
63,40000,2073,2073
64,2432,2085,2085
65,77056,2126,2126
66,95264,2176,2176
67,19648,2239,2239
68,348704,2313,2313
69,367584,2391,2391
70,10251200,2403,2403
