HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,45920,3,3
1,4288,8,8
2,48384,48,48
3,49920,96,96
4,2496,107,107
5,256800,147,147
6,18848,195,195
7,2432,206,206
8,42048,246,246
9,17888,294,294
10,2464,305,305
11,221120,345,345
12,17440,393,393
13,2432,404,404
14,42880,444,444
15,41376,492,492
16,2432,503,503
17,228672,543,543
18,17952,591,591
19,2464,604,604
20,43040,644,644
21,49920,692,692
22,704,722,722
23,2432,728,728
24,217088,768,768
25,17952,816,816
26,672,846,846
27,2464,852,852
28,42240,892,892
29,18016,940,940
30,640,970,970
31,2464,976,976
32,260192,1016,1016
33,7040,1064,1064
34,640,1094,1094
35,2432,1100,1100
36,42816,1140,1140
37,41376,1188,1188
38,640,1218,1218
39,2432,1224,1224
40,258016,1264,1264
41,13920,1312,1312
42,640,1342,1342
43,2432,1348,1348
44,43008,1388,1388
45,33536,1436,1436
46,640,1466,1466
47,2752,1472,1472
48,44128,1512,1512
49,207712,1560,1560
50,640,1590,1590
51,2432,1596,1596
52,42176,1636,1636
53,17952,1684,1684
54,640,1714,1714
55,2496,1720,1720
56,42144,1760,1760
57,200448,1808,1808
58,640,1838,1838
59,2432,1844,1844
60,43008,1884,1884
61,40896,1932,1932
62,672,1962,1962
63,2688,1968,1968
64,41952,2008,2008
65,117120,2056,2056
66,640,2086,2086
67,222688,2159,2159
68,168448,2235,2235
69,640,2293,2293
70,8727616,2299,2299
