HUD frame time nsec:,16663000

Range Index,Elapsed Time, First Event,Last Event
0,36320,6,6
1,4288,11,11
2,16288,53,53
3,640,85,85
4,2432,92,92
5,2880,134,134
6,672,166,166
7,13344,173,173
8,640,215,215
9,672,247,247
10,2432,254,254
11,2880,296,296
12,672,328,328
13,2592,335,335
14,2688,377,377
15,672,409,409
16,2464,416,416
17,12672,458,458
18,864,490,490
19,2432,497,497
20,3520,539,539
21,640,571,571
22,2432,578,578
23,2848,620,620
24,640,652,652
25,2400,659,659
26,2848,701,701
27,640,733,733
28,2784,740,740
29,2496,782,782
30,640,814,814
31,2560,821,821
32,2720,863,863
33,672,895,895
34,2400,902,902
35,3328,944,944
36,640,976,976
37,2432,985,985
38,127680,1027,1027
39,106944,1078,1078
40,2432,1090,1090
41,67456,1132,1132
42,73472,1183,1183
43,2464,1195,1195
44,107520,1237,1237
45,103712,1288,1288
46,2432,1300,1300
47,36192,1342,1342
48,103584,1393,1393
49,2432,1405,1405
50,93152,1447,1447
51,92512,1498,1498
52,2432,1510,1510
53,80320,1552,1552
54,80736,1603,1603
55,715936,1683,1683
56,805216,1759,1759
57,640,1835,1835
58,672,1892,1892
59,640,1922,1922
60,10815520,1929,1929
