HUD frame time nsec:,16660000

Range Index,Elapsed Time, First Event,Last Event
0,40800,3,3
1,4288,8,8
2,46112,48,48
3,40960,96,96
4,2784,107,107
5,92416,147,147
6,17760,195,195
7,2432,206,206
8,41408,246,246
9,17824,294,294
10,2496,305,305
11,147424,345,345
12,17696,393,393
13,2464,404,404
14,45760,444,444
15,38080,492,492
16,2464,503,503
17,938752,543,543
18,19328,591,591
19,2432,604,604
20,3584,626,626
21,2400,632,632
22,1888,654,654
23,2400,660,660
24,1472,682,682
25,2432,688,688
26,1344,710,710
27,2432,716,716
28,1376,738,738
29,2400,744,744
30,1536,766,766
31,2432,772,772
32,1408,794,794
33,2400,800,800
34,1504,822,822
35,2368,828,828
36,1440,850,850
37,2400,856,856
38,1600,878,878
39,2368,884,884
40,1440,906,906
41,2400,912,912
42,1504,934,934
43,202848,1007,1007
44,155648,1083,1083
45,768,1141,1141
46,10957408,1147,1147
