HUD frame time nsec:,16663000

Range Index,Elapsed Time, First Event,Last Event
0,34368,3,3
1,4736,8,8
2,80064,49,49
3,81728,99,99
4,3008,111,111
5,164544,152,152
6,68800,202,202
7,2496,214,214
8,38400,255,255
9,16352,305,305
10,2464,317,317
11,281248,358,358
12,14816,408,408
13,2432,420,420
14,86720,461,461
15,85344,511,511
16,2816,523,523
17,1129440,564,564
18,62592,614,614
19,4256,630,630
20,3296,652,652
21,2432,660,660
22,1312,682,682
23,2400,690,690
24,1440,712,712
25,2368,720,720
26,1472,742,742
27,2400,750,750
28,1600,772,772
29,2432,780,780
30,1280,802,802
31,2432,810,810
32,1536,832,832
33,2400,840,840
34,1792,862,862
35,2464,870,870
36,1504,892,892
37,11328,900,900
38,640,922,922
39,2560,930,930
40,1344,952,952
41,2432,960,960
42,1376,982,982
43,20064,1039,1039
44,596096,1113,1113
45,532896,1191,1191
46,7871776,1203,1203
