HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,42624,3,3
1,4256,8,8
2,70400,49,49
3,67840,99,99
4,2464,111,111
5,99168,152,152
6,84096,202,202
7,2432,214,214
8,70752,255,255
9,640,305,305
10,2432,317,317
11,97472,358,358
12,20960,408,408
13,2496,420,420
14,86144,461,461
15,80640,511,511
16,2432,523,523
17,698848,564,564
18,68352,614,614
19,4064,630,630
20,3520,652,652
21,2400,660,660
22,1408,682,682
23,2432,690,690
24,1408,712,712
25,2432,720,720
26,1472,742,742
27,2400,750,750
28,1408,772,772
29,2432,780,780
30,1344,802,802
31,2464,810,810
32,1344,832,832
33,2400,840,840
34,1376,862,862
35,2432,870,870
36,1600,892,892
37,2400,900,900
38,1504,922,922
39,2400,930,930
40,1440,952,952
41,2432,960,960
42,1280,982,982
43,18944,1039,1039
44,563776,1113,1113
45,630944,1191,1191
46,8318592,1203,1203
