HUD frame time nsec:,16661000

Range Index,Elapsed Time, First Event,Last Event
0,35488,3,3
1,4672,8,8
2,64544,49,49
3,85728,99,99
4,2848,111,111
5,72320,152,152
6,24992,202,202
7,2496,214,214
8,38496,255,255
9,16320,305,305
10,2656,317,317
11,123840,358,358
12,16768,408,408
13,2464,420,420
14,75360,461,461
15,75264,511,511
16,2816,523,523
17,587648,564,564
18,36992,614,614
19,4064,630,630
20,3264,652,652
21,2400,660,660
22,1504,682,682
23,2400,690,690
24,1152,712,712
25,2400,720,720
26,1440,742,742
27,2656,750,750
28,1152,772,772
29,2400,780,780
30,1792,802,802
31,2432,810,810
32,1408,832,832
33,2400,840,840
34,1536,862,862
35,2496,870,870
36,1472,892,892
37,2400,900,900
38,1376,922,922
39,2432,930,930
40,1472,952,952
41,2400,960,960
42,1440,982,982
43,21280,1039,1039
44,421632,1113,1113
45,299072,1191,1191
46,11030816,1203,1203
