HUD frame time nsec:,16664000

Range Index,Elapsed Time, First Event,Last Event
0,36480,9,9
1,5056,14,14
2,7648,57,57
3,672,109,109
4,672,142,142
5,3136,149,149
6,2944,192,192
7,640,244,244
8,640,277,277
9,3104,284,284
10,2208,327,327
11,640,379,379
12,640,412,412
13,3072,419,419
14,2144,462,462
15,640,514,514
16,672,547,547
17,3392,554,554
18,2272,597,597
19,672,649,649
20,640,682,682
21,3104,689,689
22,3232,732,732
23,640,784,784
24,640,817,817
25,3072,824,824
26,3008,867,867
27,672,919,919
28,672,952,952
29,3072,959,959
30,2976,1002,1002
31,672,1054,1054
32,640,1087,1087
33,3072,1094,1094
34,2240,1137,1137
35,736,1189,1189
36,672,1222,1222
37,3104,1229,1229
38,2208,1272,1272
39,672,1324,1324
40,640,1357,1357
41,3200,1364,1364
42,2080,1407,1407
43,640,1459,1459
44,640,1492,1492
45,3104,1499,1499
46,3296,1542,1542
47,832,1594,1594
48,640,1627,1627
49,3072,1634,1634
50,3008,1677,1677
51,672,1729,1729
52,640,1762,1762
53,3072,1769,1769
54,2240,1812,1812
55,672,1864,1864
56,672,1897,1897
57,3104,1904,1904
58,2240,1947,1947
59,640,1999,1999
60,672,2032,2032
61,3072,2039,2039
62,2272,2082,2082
63,640,2134,2134
64,640,2167,2167
65,3296,2174,2174
66,2880,2217,2217
67,640,2269,2269
68,640,2302,2302
69,3104,2309,2309
70,2816,2352,2352
71,640,2404,2404
72,672,2437,2437
73,3104,2444,2444
74,2976,2487,2487
75,640,2539,2539
76,672,2572,2572
77,3104,2579,2579
78,2208,2622,2622
79,640,2674,2674
80,640,2707,2707
81,3104,2714,2714
82,2240,2757,2757
83,1056,2809,2809
84,640,2842,2842
85,492320,2849,2849
86,2240,2892,2892
87,640,2944,2944
88,640,2977,2977
89,3104,2984,2984
90,2880,3027,3027
91,672,3079,3079
92,640,3112,3112
93,3072,3119,3119
94,3264,3162,3162
95,672,3214,3214
96,640,3247,3247
97,3104,3256,3256
98,255168,3299,3299
99,65792,3351,3351
100,26720,3403,3403
101,7392,3455,3455
102,832,3507,3507
103,1664,3559,3559
104,768,3611,3611
105,3808,3663,3663
106,4320,3715,3715
107,6208,3767,3767
108,4768,3819,3819
109,3104,3831,3831
110,231232,3874,3874
111,66656,3926,3926
112,25536,3978,3978
113,3648,4030,4030
114,672,4082,4082
115,8448,4134,4134
116,1216,4186,4186
117,2336,4238,4238
118,4192,4290,4290
119,2336,4342,4342
120,4576,4394,4394
121,3136,4406,4406
122,239328,4449,4449
123,640,4501,4501
124,640,4553,4553
125,672,4605,4605
126,640,4657,4657
127,672,4709,4709
128,672,4761,4761
129,640,4813,4813
130,672,4865,4865
131,640,4917,4917
132,640,4969,4969
133,3232,4981,4981
134,35648,5024,5024
135,241728,5076,5076
136,7968,5128,5128
137,2400,5180,5180
138,1248,5232,5232
139,2304,5284,5284
140,1280,5336,5336
141,3360,5388,5388
142,4128,5440,5440
143,3552,5492,5492
144,4064,5544,5544
145,3104,5556,5556
146,194432,5599,5599
147,26912,5651,5651
148,12704,5703,5703
149,13792,5755,5755
150,672,5807,5807
151,23104,5859,5859
152,928,5911,5911
153,640,5963,5963
154,672,6015,6015
155,3680,6067,6067
156,6656,6119,6119
157,3104,6131,6131
158,245856,6174,6174
159,344576,6226,6226
160,17568,6278,6278
161,14240,6330,6330
162,1184,6382,6382
163,14368,6434,6434
164,1184,6486,6486
165,8640,6538,6538
166,8736,6590,6590
167,7360,6642,6642
168,7392,6694,6694
169,1186144,6773,6773
170,261632,6848,6848
171,110368,6923,6923
172,30368,6998,6998
173,1632,7073,7073
174,35520,7148,7148
175,672,7223,7223
176,21408,7298,7298
177,28384,7373,7373
178,36960,7448,7448
179,229856,7523,7523
180,768,7598,7598
181,672,7673,7673
182,704,7729,7729
183,640,7771,7771
184,672,7813,7813
185,672,7855,7855
186,640,7897,7897
187,672,7939,7939
188,5376864,7946,7946
