HUD frame time nsec:,16722000

Range Index,Elapsed Time, First Event,Last Event
0,35392,3,3
1,4288,8,8
2,70432,49,49
3,67968,99,99
4,2464,111,111
5,105824,152,152
6,82272,202,202
7,2432,214,214
8,38496,255,255
9,16320,305,305
10,2432,317,317
11,99104,358,358
12,16000,408,408
13,2496,420,420
14,54944,461,461
15,66848,511,511
16,2496,523,523
17,680256,564,564
18,89792,614,614
19,4064,630,630
20,3488,652,652
21,2400,660,660
22,1632,682,682
23,2400,690,690
24,1472,712,712
25,2400,720,720
26,1472,742,742
27,2400,750,750
28,1536,772,772
29,2400,780,780
30,1472,802,802
31,2400,810,810
32,1504,832,832
33,2432,840,840
34,1376,862,862
35,2400,870,870
36,1408,892,892
37,2560,900,900
38,1312,922,922
39,2400,930,930
40,1440,952,952
41,2400,960,960
42,1440,982,982
43,19488,1039,1039
44,399744,1113,1113
45,417024,1191,1191
46,10629728,1203,1203
