HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,35520,3,3
1,4416,8,8
2,70944,49,49
3,67488,99,99
4,2496,111,111
5,305280,152,152
6,74880,202,202
7,2464,214,214
8,38336,255,255
9,16288,305,305
10,2432,317,317
11,199040,358,358
12,16288,408,408
13,2464,420,420
14,55264,461,461
15,66560,511,511
16,2528,523,523
17,970208,564,564
18,90240,614,614
19,4064,630,630
20,3616,652,652
21,2400,660,660
22,1376,682,682
23,2368,690,690
24,1440,712,712
25,2368,720,720
26,1504,742,742
27,2368,750,750
28,1536,772,772
29,2400,780,780
30,1440,802,802
31,2400,810,810
32,1408,832,832
33,2400,840,840
34,1856,862,862
35,2400,870,870
36,1472,892,892
37,2400,900,900
38,1600,922,922
39,2400,930,930
40,1280,952,952
41,2400,960,960
42,1408,982,982
43,25632,1039,1039
44,588512,1113,1113
45,518656,1191,1191
46,9740896,1203,1203
